Sample	d_pre_nokat_clock	group
CURTIS_H004330_T01_01_WG01	0.490724068261054	HER2+
CURTIS_H004330_T01_01_WG01	0.496850601672061	HER2+
CURTIS_H004330_T01_01_WG01	0.404567575267191	HER2+
CURTIS_H004334_T01_01_WG01	0.99612158918653	ER+ High
CURTIS_H004335_T01_01_WG01	0.177010701827469	HER2+
CURTIS_H004337_T01_01_WG01	0	ER+ Typical
CURTIS_H004338_T01_01_WG01	0.409143950644979	HER2+
CURTIS_H004340_T01_01_WG01	0.113366878260753	IC10
CURTIS_H004341_T01_01_WG01	0.238292848207092	ER+ High
CURTIS_H004344_T01_01_WG01	0.0648041428348607	ER+ High
CURTIS_H004344_T01_01_WG01	0.167055080355407	ER+ High
CURTIS_H004345_T01_01_WG01	0.156318963810036	ER+ High
CURTIS_H004351_T01_01_WG01	0.215341070461283	ER+ High
CURTIS_H004353_T01_01_WG01	0.648352709813247	ER+ High
CURTIS_H004354_T01_01_WG01	0.615013114762667	IC10
CURTIS_H004355_T01_01_WG01	0.122683712772517	ER+ High
CURTIS_H004358_T01_01_WG01	0.547279245098885	ER+ High
CURTIS_H004360_T01_01_WG01	0.287293955551558	HER2+
CURTIS_H004362_T01_01_WG01	1.07296576747767	ER+ High
CURTIS_H004362_T01_01_WG01	0	ER+ High
CURTIS_H004364_T01_01_WG01	0.361879703599323	ER+ Typical
CURTIS_H004366_T01_01_WG01	0.0792539256943385	HER2+
CURTIS_H004367_T01_01_WG01	0.305378059135692	ER+ Typical
CURTIS_H004368_T01_01_WG01	0.0498266905986924	ER+ High
CURTIS_H004373_T01_01_WG01	1.13079496380869	IC10
CURTIS_H004375_T01_01_WG01	0.369625132362357	HER2+
CURTIS_H004377_T01_01_WG01	0.0329148341981811	ER+ High
CURTIS_H004387_T01_01_WG01	0	ER+ High
CURTIS_H004387_T01_01_WG01	0.248660119113308	ER+ High
CURTIS_H004388_T01_01_WG01	0.275297855467533	ER+ High
CURTIS_H004392_T01_01_WG01	0.267156112980524	ER+ High
CURTIS_H004394_T01_01_WG01	2.55443055432207	ER+ High
CURTIS_H004395_T01_01_WG01	0.112944561865915	ER+ High
CURTIS_H004398_T01_01_WG01	0.750710724856161	ER+ High
CURTIS_H004399_T01_01_WG01	0.548879385221569	ER+ High
CURTIS_H004403_T01_01_WG01	0.248394536988791	ER+ High
CURTIS_H004403_T01_01_WG01	1.15564510579887	ER+ High
CURTIS_H004403_T01_01_WG01	0.169312377200059	ER+ High
CURTIS_H004405_T01_01_WG01	0.298870694645966	ER+ High
CURTIS_H004406_T01_01_WG01	1.22411903280156	HER2+
CURTIS_H004410_T01_01_WG01	0.502811676837792	ER+ High
CURTIS_H004411_T01_01_WG01	0.0823820201429699	ER+ High
CURTIS_H004421_T01_01_WG01	0.0703409343388301	IC10
CURTIS_H004423_T03_01_WG01	0.202210812489991	ER+ High
CURTIS_H004425_T01_01_WG01	0.255928251987029	ER+ High
CURTIS_H004427_T01_01_WG01	0	ER+ Typical
CURTIS_H004428_T01_01_WG01	0.781744353989734	HER2+
